Time Period Start,Time Period End,Time Open,Time Close,Price Open,Price High,Price Low,Price Close,Volume Traded,Trades Count
2021-03-08T00:00:00.0000000Z,2021-03-15T00:00:00.0000000Z,2021-03-08T00:00:02.3660000Z,2021-03-14T23:59:59.7856740Z,190.62,230,179.89,214.11,4592091.661,770091
2021-03-01T00:00:00.0000000Z,2021-03-08T00:00:00.0000000Z,2021-03-01T00:00:00.0585380Z,2021-03-07T23:59:59.6710620Z,165.58,196.71,163.52,190.74,4127700.396,627770
2021-02-22T00:00:00.0000000Z,2021-03-01T00:00:00.0000000Z,2021-02-22T00:00:01.1342740Z,2021-02-28T23:59:58.1646370Z,227.57,227.72,150,165.72,8465998.717,1192682
2021-02-15T00:00:00.0000000Z,2021-02-22T00:00:00.0000000Z,2021-02-15T00:00:02.0117760Z,2021-02-21T23:59:57.5569750Z,213.92,247.05,185.72,227.54,7366776.322,1085375
2021-02-08T00:00:00.0000000Z,2021-02-15T00:00:00.0000000Z,2021-02-08T00:00:05.2674400Z,2021-02-14T23:59:59.8900320Z,151.03,230.81,147.97,213.93,8388122.652,1166410
2021-02-01T00:00:00.0000000Z,2021-02-08T00:00:00.0000000Z,2021-02-01T00:00:01.4257990Z,2021-02-07T23:59:59.2700740Z,129.61,164.23,126.02,150.95,5302861.484,678984
2021-01-25T00:00:00.0000000Z,2021-02-01T00:00:00.0000000Z,2021-01-25T00:00:00.5611300Z,2021-01-31T23:59:58.9693960Z,141.17,147.69,117.99,129.58,4344265.374,573134
2021-01-18T00:00:00.0000000Z,2021-01-25T00:00:00.0000000Z,2021-01-18T00:00:00.3948150Z,2021-01-24T23:59:58.9689710Z,142.76,166.29,122.25,141.13,4994676.662,626990
2021-01-11T00:00:00.0000000Z,2021-01-18T00:00:00.0000000Z,2021-01-11T00:00:00.4897690Z,2021-01-17T23:59:59.6811360Z,170.22,170.72,111.04,142.8,9211452.088,1002591
2021-01-04T00:00:00.0000000Z,2021-01-11T00:00:00.0000000Z,2021-01-04T00:00:00.3777700Z,2021-01-10T23:59:59.6052160Z,161.44,186.41,138,170.21,10147570.79,1238457
2020-12-28T00:00:00.0000000Z,2021-01-04T00:00:00.0000000Z,2020-12-28T00:00:00.5140590Z,2021-01-03T23:59:59.7164410Z,127.67,164.98,110,161.52,7139806.207,835371
2020-12-21T00:00:00.0000000Z,2020-12-28T00:00:00.0000000Z,2020-12-21T00:00:00.4193920Z,2020-12-27T23:59:58.4690000Z,114.65,139.41,94.44,127.83,10649111.73,997349
2020-12-14T00:00:00.0000000Z,2020-12-21T00:00:00.0000000Z,2020-12-14T00:00:01.7579550Z,2020-12-20T23:59:59.3671270Z,82.2,124.55,78.29,114.65,7608361.877,695234
2020-12-07T00:00:00.0000000Z,2020-12-14T00:00:00.0000000Z,2020-12-07T00:00:01.3520630Z,2020-12-13T23:59:56.4186770Z,83.58,86.89,69.82,82.2,2969240.114,268458
2020-11-30T00:00:00.0000000Z,2020-12-07T00:00:00.0000000Z,2020-11-30T00:00:01.2676310Z,2020-12-06T23:59:57.7398210Z,79.01,93.13,76.69,83.64,5631757.911,444530
2020-11-23T00:00:00.0000000Z,2020-11-30T00:00:00.0000000Z,2020-11-23T00:00:00.6195940Z,2020-11-29T23:59:59.7473220Z,82.95,94.08,64.3,79,6597048.437,505548
2020-11-16T00:00:00.0000000Z,2020-11-23T00:00:00.0000000Z,2020-11-16T00:00:10.0031150Z,2020-11-22T23:59:59.7730000Z,62.33,88.56,62.16,83,6729458.433,483092
2020-11-09T00:00:00.0000000Z,2020-11-16T00:00:00.0000000Z,2020-11-09T00:00:03.8386070Z,2020-11-15T23:59:59.0500290Z,60.99,66.67,57.12,62.37,2539152.792,173408
2020-11-02T00:00:00.0000000Z,2020-11-09T00:00:00.0000000Z,2020-11-02T00:00:12.3808810Z,2020-11-08T23:59:45.2088030Z,55.67,64.87,51.07,60.99,2847211.679,190806
2020-10-26T00:00:00.0000000Z,2020-11-02T00:00:00.0000000Z,2020-10-26T00:00:03.1154310Z,2020-11-01T23:59:50.9022440Z,58.88,60.9,52.27,55.65,1921391.233,125953
2020-10-19T00:00:00.0000000Z,2020-10-26T00:00:00.0000000Z,2020-10-19T00:00:00.6046120Z,2020-10-25T23:59:52.5520000Z,47.58,60.02,46.45,58.89,2427202.03,158265
2020-10-12T00:00:00.0000000Z,2020-10-19T00:00:00.0000000Z,2020-10-12T00:00:00.7724960Z,2020-10-18T23:59:57.0798610Z,50.47,51.6,45.42,47.58,1135558.27,81652
2020-10-05T00:00:00.0000000Z,2020-10-12T00:00:00.0000000Z,2020-10-05T00:00:00.5742580Z,2020-10-11T23:59:50.9463450Z,46.71,51.25,45.02,50.48,1091379.328,84430
2020-09-28T00:00:00.0000000Z,2020-10-05T00:00:00.0000000Z,2020-09-28T00:00:00.7972080Z,2020-10-04T23:59:56.4940000Z,46.08,48.52,43.21,46.72,1085536.43,80152
2020-09-21T00:00:00.0000000Z,2020-09-28T00:00:00.0000000Z,2020-09-21T00:00:04.7826240Z,2020-09-27T23:59:49.9570000Z,47.1,47.68,41.59,46.1,1262680.628,87688
