Exchange Id,Website,Name,Data Start,Data End,Data Quote Start,Data Quote End,Data Symbols Count,Volume 1hrs Usd,Volume 1day Usd,Volume 1mth Usd,Data Orderbook Start,Data Orderbook End,Data Trade Start,Data Trade End
BINANCEFTSUAT,https://www.binance.com/,Binance Futures Testnet (USDT/dapi),2020-08-04,2021-05-20,2020-08-04T11:26:07.1305490Z,2021-05-20T17:43:26.8060000Z,128,0,0,0,2019-04-08T15:19:05.2653890Z,2020-03-03T23:49:26.9246506Z,2020-08-04T11:26:06.5310000Z,2021-05-20T17:30:04.0966667Z
BIKI,https://www.biki.com/,BiKi,2019-10-01,2021-05-20,2019-10-01T15:06:19.1645252Z,2021-05-20T17:42:52.0763533Z,837,147197654.9,6198935926,125816094006,2019-10-01T15:06:19.1645252Z,2020-08-05T14:37:49.8082198Z,2019-10-01T15:06:20.7990000Z,2021-05-20T17:30:04.0966667Z
TRADEOGRE,https://tradeogre.com/,TradeOgre,2019-04-08,2021-05-20,2019-04-08T15:18:03.9093034Z,2021-05-20T17:42:46.4738343Z,121,24006518180876,1.03157E+15,9.1012E+15,2019-04-08T15:18:03.9093034Z,2020-08-05T14:37:54.8372325Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
BISQ,https://bisq.network/,Bisq,2020-01-01,2021-05-20,2020-01-01T02:29:21.8875956Z,2021-05-20T17:30:00.9400000Z,276,0,0,0,2020-01-01T02:29:21.8875956Z,2020-08-05T14:37:25.5791398Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
COINDEAL,https://coindeal.com/,Coindeal,2019-10-01,2021-05-20,2019-10-01T17:21:35.0250361Z,2021-05-20T17:42:00.8586498Z,52,0,0,0,2019-10-01T17:21:35.0250361Z,2020-08-05T14:37:37.7718486Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
VELIC,https://www.velic.io/,VELIC,2019-10-01,2021-05-20,2019-10-01T17:47:07.3706738Z,2021-05-20T17:31:41.7173430Z,50,0,0,0,2019-10-01T17:47:07.3706738Z,2020-08-05T14:37:52.2971168Z,2019-04-08T15:19:17.0000000Z,2021-05-20T17:30:04.0966667Z
CRYPTALDASH,https://www.cryptaldash.com/,CryptalDash,2018-08-13,2021-05-20,2019-04-08T15:18:06.5579239Z,2021-05-20T17:30:00.9400000Z,641,0,0,418.11,2019-04-08T15:18:06.5579239Z,2020-08-05T14:37:56.5139509Z,2018-08-13T18:04:30.0000000Z,2021-04-29T07:37:36.0000000Z
COINSPRO,https://pro.coins.asia/,Coins Pro,2018-03-09,2021-05-20,2018-11-08T20:09:36.9821552Z,2021-05-20T17:32:03.4520000Z,14,30898.25,1688947.53,54282577.13,2018-11-08T20:09:36.9821552Z,2020-08-05T14:37:41.4030000Z,2018-03-09T21:32:41.4920000Z,2021-05-20T17:30:04.0966667Z
CHAOEX,https://www.chaoex.com,CHAOEX,2019-06-03,2020-09-05,2019-10-01T17:21:35.3589807Z,2020-09-05T22:55:32.9797584Z,118,0,0,0,2019-10-01T17:21:35.3589807Z,2020-08-05T11:47:36.3935768Z,2019-06-03T05:55:23.0000000Z,2020-09-04T02:09:10.2060000Z
BITBANK,https://bitbank.cc/,Bitbank,2018-09-09,2021-05-20,2018-09-09T12:57:18.2867320Z,2021-05-20T17:32:09.5821236Z,8,7432020.89,355664125.3,5433885313,2018-09-09T12:57:18.2867320Z,2020-08-05T14:37:46.5011156Z,2018-09-09T05:09:30.0640000Z,2021-05-20T17:30:04.0966667Z
